Sample	imputed	true	ext_dosage	GWAS_SNP_dosage
Fake_sample_558	2/5	2/5	0.0	1.0
Fake_sample_559	5/10	5/11	0.09	1.0
Fake_sample_560	6/14	6/13	0.0	1.0
Fake_sample_561	2/2	2/2	0.0	0.0
Fake_sample_562	5/10	5/10	0.0	1.0
Fake_sample_563	12/30	8/12	0.63	2.0
Fake_sample_564	2/2	2/2	0.0	0.0
Fake_sample_565	2/30	2/11	1.0	1.0
Fake_sample_566	2/8	2/8	0.0	0.0
Fake_sample_567	2/2	2/2	0.0	0.0
Fake_sample_568	2/4	2/4	0.0	0.0
Fake_sample_569	7/10	7/10	0.0	1.0
Fake_sample_570	2/2	2/2	0.0	0.0
Fake_sample_571	6/8	6/8	0.0	1.0
Fake_sample_572	2/6	2/6	0.0	0.0
Fake_sample_573	2/5	2/5	0.0	0.0
Fake_sample_574	2/5	2/5	0.0	0.0
Fake_sample_575	2/5	2/8	0.0	1.0
Fake_sample_576	4/8	4/10	0.0	1.0
Fake_sample_577	2/2	2/2	0.0	0.0
Fake_sample_578	2/2	2/2	0.0	0.0
Fake_sample_579	2/5	2/5	0.0	0.0
Fake_sample_580	2/2	2/2	0.0	0.0
Fake_sample_581	2/5	2/5	0.0	0.0
Fake_sample_582	5/8	5/8	0.0	1.0
Fake_sample_583	5/5	5/7	0.0	0.0
Fake_sample_584	2/30	2/18	0.99	1.0
Fake_sample_585	2/6	2/6	0.0	0.0
Fake_sample_586	2/5	2/2	0.0	0.0
Fake_sample_587	2/2	2/2	0.0	0.0
Fake_sample_588	2/5	2/5	0.0	0.0
Fake_sample_589	2/2	2/2	0.0	0.0
Fake_sample_590	5/30	5/8	0.23	1.0
Fake_sample_591	23/30	15/23	1.46	2.0
Fake_sample_592	5/5	5/5	0.0	0.0
Fake_sample_593	2/2	2/2	0.0	0.0
Fake_sample_594	2/7	2/10	0.0	0.0
Fake_sample_595	2/8	2/8	0.0	1.0
Fake_sample_596	2/8	2/8	0.0	1.0
Fake_sample_597	8/11	8/11	0.0	2.0
Fake_sample_598	2/6	2/6	0.0	0.0
Fake_sample_599	2/2	2/2	0.0	0.0
Fake_sample_600	2/2	2/2	0.0	0.0
Fake_sample_601	2/2	2/2	0.0	0.0
Fake_sample_602	2/4	2/4	0.0	0.0
Fake_sample_603	2/2	2/2	0.0	0.0
Fake_sample_604	2/2	2/2	0.0	0.0
Fake_sample_605	2/5	2/5	0.0	0.0
Fake_sample_606	2/5	2/5	0.0	0.0
Fake_sample_607	2/8	2/8	0.0	1.0
Fake_sample_608	2/4	2/4	0.0	0.0
Fake_sample_609	2/6	3/2	0.0	0.0
Fake_sample_610	2/6	2/6	0.0	0.0
Fake_sample_611	7/8	7/8	0.0	2.0
Fake_sample_612	2/8	2/8	0.0	1.0
Fake_sample_613	2/11	2/15	0.2	1.0
Fake_sample_614	2/8	2/8	0.0	0.0
Fake_sample_615	2/2	2/2	0.0	0.0
Fake_sample_616	2/2	2/2	0.0	0.0
Fake_sample_617	2/8	2/8	0.0	1.0
Fake_sample_618	2/2	2/2	0.0	0.0
Fake_sample_619	5/11	5/11	0.0	1.0
Fake_sample_620	2/5	2/5	0.0	0.0
Fake_sample_621	2/2	2/2	0.0	0.0
Fake_sample_622	2/2	2/2	0.0	0.0
Fake_sample_623	2/2	2/2	0.0	0.0
Fake_sample_624	5/6	5/6	0.0	0.0
Fake_sample_625	2/11	2/11	0.0	1.0
Fake_sample_626	5/8	5/9	0.0	1.0
Fake_sample_627	2/4	2/5	0.0	0.0
Fake_sample_628	2/2	2/2	0.0	0.0
Fake_sample_629	2/8	2/8	0.0	1.0
Fake_sample_630	2/5	2/5	0.0	0.0
Fake_sample_631	5/5	5/5	0.0	0.0
Fake_sample_632	2/2	2/2	0.0	0.0
Fake_sample_633	2/8	2/8	0.0	1.0
Fake_sample_634	2/8	2/8	0.0	0.0
Fake_sample_635	2/5	2/5	0.0	0.0
Fake_sample_636	2/5	2/5	0.0	0.0
Fake_sample_637	2/30	2/11	0.77	1.0
Fake_sample_638	2/6	2/6	0.0	0.0
Fake_sample_639	5/8	5/8	0.0	1.0
Fake_sample_640	2/8	2/8	0.0	1.0
Fake_sample_641	2/2	2/2	0.0	0.0
Fake_sample_642	2/8	2/13	0.25	1.0
Fake_sample_643	5/5	5/5	0.0	0.0
Fake_sample_644	2/2	2/2	0.0	0.0
Fake_sample_645	2/2	2/2	0.0	0.0
Fake_sample_646	2/10	2/11	0.0	1.0
Fake_sample_647	2/8	2/8	0.0	1.0
Fake_sample_648	8/8	8/8	0.0	2.0
Fake_sample_649	2/30	2/13	0.75	1.0
Fake_sample_650	2/5	2/5	0.0	0.0
Fake_sample_651	2/5	2/5	0.0	0.0
Fake_sample_652	2/2	2/2	0.0	0.0
Fake_sample_653	2/8	2/10	0.0	1.0
Fake_sample_654	8/14	8/14	0.15	2.0
Fake_sample_655	4/13	4/13	0.0	2.0
Fake_sample_656	2/5	2/5	0.0	0.0
Fake_sample_657	8/13	8/12	0.14	2.0
Fake_sample_658	2/7	2/7	0.0	0.0
Fake_sample_659	2/15	2/11	0.0	1.0
Fake_sample_660	2/2	2/2	0.0	0.0
Fake_sample_661	2/2	2/2	0.0	0.0
Fake_sample_662	5/8	5/8	0.0	1.0
Fake_sample_663	2/5	2/5	0.0	0.0
Fake_sample_664	2/8	2/8	0.0	1.0
Fake_sample_665	2/12	2/12	0.0	1.0
Fake_sample_666	5/5	5/6	0.0	0.0
Fake_sample_667	13/30	13/14	1.0	2.0
Fake_sample_668	10/30	12/13	0.41	2.0
Fake_sample_669	2/5	2/5	0.0	0.0
Fake_sample_670	5/8	5/8	0.0	1.0
Fake_sample_671	2/5	2/5	0.0	0.0
Fake_sample_672	2/8	2/8	0.0	1.0
Fake_sample_673	2/5	2/5	0.0	0.0
Fake_sample_674	2/8	2/8	0.01	1.0
Fake_sample_675	2/8	2/8	0.0	1.0
Fake_sample_676	2/6	2/6	0.0	0.0
Fake_sample_677	2/2	2/2	0.0	0.0
Fake_sample_678	2/2	2/2	0.0	0.0
Fake_sample_679	2/2	2/2	0.0	0.0
Fake_sample_680	2/11	2/11	0.0	1.0
Fake_sample_681	2/2	2/2	0.0	0.0
Fake_sample_682	2/5	2/5	0.0	0.0
Fake_sample_683	2/5	2/5	0.0	0.0
Fake_sample_684	6/10	6/11	0.15	1.0
Fake_sample_685	6/8	6/8	0.0	1.0
Fake_sample_686	2/2	2/2	0.0	0.0
Fake_sample_687	2/18	2/157	0.01	1.0
Fake_sample_688	10/30	12/242	0.92	2.0
Fake_sample_689	2/2	2/2	0.0	0.0
Fake_sample_690	2/5	2/5	0.01	1.0
Fake_sample_691	2/2	2/2	0.0	0.0
Fake_sample_692	5/6	5/6	0.0	0.0
Fake_sample_693	5/6	5/6	0.0	0.0
Fake_sample_694	2/2	2/2	0.0	0.0
Fake_sample_695	2/11	2/11	0.0	1.0
Fake_sample_696	2/5	2/5	0.0	1.0
Fake_sample_697	5/8	5/8	0.0	1.0
Fake_sample_698	2/2	2/2	0.0	0.0
Fake_sample_699	2/2	2/2	0.0	0.0
Fake_sample_700	2/8	2/8	0.0	1.0
Fake_sample_701	6/8	6/8	0.0	1.0
Fake_sample_702	2/2	2/2	0.0	0.0
Fake_sample_703	2/5	2/5	0.0	0.0
Fake_sample_704	2/5	2/5	0.0	0.0
Fake_sample_705	8/30	11/16	0.68	2.0
Fake_sample_706	6/13	6/12	0.13	1.0
Fake_sample_707	2/2	2/2	0.0	0.0
Fake_sample_708	2/30	2/159	1.0	1.0
Fake_sample_709	5/8	5/8	0.0	1.0
Fake_sample_710	2/5	2/5	0.0	0.0
Fake_sample_711	2/2	2/2	0.0	0.0
Fake_sample_712	5/6	5/6	0.0	0.0
Fake_sample_713	2/4	2/4	0.0	0.0
Fake_sample_714	2/2	2/2	0.0	0.0
Fake_sample_715	2/2	2/2	0.0	0.0
Fake_sample_716	2/6	2/6	0.0	0.0
Fake_sample_717	6/11	6/10	0.0	1.0
Fake_sample_718	2/2	2/2	0.0	0.0
Fake_sample_719	2/2	2/2	0.0	0.0
Fake_sample_720	2/4	2/4	0.0	0.0
Fake_sample_721	2/2	2/2	0.0	0.0
Fake_sample_722	2/2	2/2	0.0	0.0
Fake_sample_723	5/8	5/8	0.0	1.0
Fake_sample_724	5/14	5/11	0.01	1.0
Fake_sample_725	2/2	2/2	0.0	0.0
Fake_sample_726	2/2	2/2	0.0	0.0
Fake_sample_727	2/30	2/328	1.0	1.0
Fake_sample_728	5/8	5/8	0.0	1.0
Fake_sample_729	2/2	2/2	0.0	0.0
Fake_sample_730	2/2	2/2	0.0	0.0
Fake_sample_731	2/30	2/13	0.84	1.0
Fake_sample_732	2/8	2/8	0.0	1.0
Fake_sample_733	2/2	2/2	0.0	0.0
Fake_sample_734	2/2	2/2	0.0	0.0
Fake_sample_735	2/5	2/5	0.0	0.0
Fake_sample_736	4/5	4/5	0.0	0.0
Fake_sample_737	2/8	2/8	0.0	1.0
Fake_sample_738	2/9	2/9	0.0	1.0
Fake_sample_739	4/5	4/5	0.0	0.0
Fake_sample_740	2/2	2/2	0.0	0.0
Fake_sample_741	5/10	5/15	0.0	2.0
Fake_sample_742	6/6	6/6	0.0	0.0
Fake_sample_743	2/5	2/5	0.0	0.0
Fake_sample_744	5/30	5/250	1.0	1.0
Fake_sample_745	6/10	6/10	0.0	1.0
Fake_sample_746	2/2	2/2	0.0	0.0
Fake_sample_747	2/2	2/2	0.0	0.0
Fake_sample_748	2/5	2/5	0.0	0.0
Fake_sample_749	2/2	2/2	0.0	0.0
Fake_sample_750	2/2	2/2	0.0	0.0
Fake_sample_751	2/2	2/2	0.0	0.0
Fake_sample_752	2/8	2/8	0.0	1.0
Fake_sample_753	2/2	2/2	0.0	0.0
Fake_sample_754	2/7	2/7	0.0	0.0
Fake_sample_755	2/5	2/5	0.0	0.0
Fake_sample_756	2/5	2/5	0.0	0.0
Fake_sample_757	2/8	2/8	0.0	1.0
Fake_sample_758	2/12	2/12	0.0	1.0
Fake_sample_759	2/5	2/5	0.0	0.0
Fake_sample_760	5/5	5/5	0.0	0.0
Fake_sample_761	5/8	5/8	0.0	1.0
Fake_sample_762	5/6	5/6	0.0	0.0
Fake_sample_763	4/8	4/8	0.0	1.0
Fake_sample_764	2/5	2/5	0.0	0.0
Fake_sample_765	2/2	2/2	0.0	0.0
Fake_sample_766	2/5	2/5	0.0	0.0
Fake_sample_767	2/2	2/2	0.0	0.0
Fake_sample_768	2/5	2/5	0.0	0.0
Fake_sample_769	2/6	2/6	0.0	0.0
Fake_sample_770	2/8	2/8	0.0	1.0
Fake_sample_771	8/10	8/10	0.0	2.0
Fake_sample_772	2/30	2/544	1.0	1.0
Fake_sample_773	8/30	8/342	1.0	2.0
Fake_sample_774	6/30	6/302	1.0	1.0
Fake_sample_775	2/11	2/11	0.17	1.0
Fake_sample_776	2/30	2/512	0.98	1.0
Fake_sample_777	11/23	11/14	0.5	2.0
Fake_sample_778	2/5	2/5	0.0	0.0
Fake_sample_779	2/30	2/334	0.98	1.0
Fake_sample_780	2/10	2/10	0.0	1.0
Fake_sample_781	8/30	10/425	0.82	2.0
Fake_sample_782	2/30	2/461	1.0	1.0
Fake_sample_783	8/30	8/397	1.0	2.0
Fake_sample_784	2/30	2/250	1.0	1.0
Fake_sample_785	2/30	2/258	1.0	1.0
Fake_sample_786	2/2	2/2	0.0	0.0
Fake_sample_787	2/2	2/2	0.0	0.0
Fake_sample_788	2/6	2/6	0.0	0.0
Fake_sample_789	2/5	2/5	0.0	0.0
Fake_sample_790	2/2	2/2	0.0	0.0
Fake_sample_791	2/2	2/2	0.0	0.0
Fake_sample_792	2/30	2/390	0.78	1.0
Fake_sample_793	2/30	2/309	1.0	1.0
Fake_sample_794	2/30	2/349	1.0	1.0
Fake_sample_795	2/7	2/7	0.0	0.0
Fake_sample_796	2/4	2/4	0.0	0.0
Fake_sample_797	2/6	2/6	0.0	0.0
Fake_sample_798	2/2	2/2	0.0	0.0
Fake_sample_799	2/2	2/2	0.0	0.0
Fake_sample_800	5/8	5/8	0.0	1.0
Fake_sample_801	5/15	5/21	0.0	1.0
Fake_sample_802	8/30	8/300	1.0	2.0
Fake_sample_803	2/2	2/4	0.0	0.0
Fake_sample_804	2/5	2/5	0.0	0.0
Fake_sample_805	2/19	2/262	0.0	1.0
Fake_sample_806	2/15	2/28	0.0	1.0
Fake_sample_807	5/5	5/5	0.0	0.0
Fake_sample_808	2/30	2/397	0.99	1.0
Fake_sample_809	2/2	2/2	0.0	0.0
Fake_sample_810	2/30	2/609	0.93	1.0
Fake_sample_811	2/24	2/15	0.0	1.0
Fake_sample_812	2/30	2/197	1.0	1.0
Fake_sample_813	2/2	2/2	0.0	0.0
Fake_sample_814	2/30	2/422	0.87	1.0
Fake_sample_815	2/11	2/11	0.0	1.0
Fake_sample_816	2/6	2/6	0.0	1.0
Fake_sample_817	4/6	4/6	0.0	0.0
Fake_sample_818	2/7	2/2	0.0	0.0
Fake_sample_819	7/30	7/328	1.0	1.0
Fake_sample_820	2/2	2/2	0.0	0.0
Fake_sample_821	8/30	8/304	1.0	2.0
Fake_sample_822	2/8	2/8	0.0	1.0
Fake_sample_823	5/14	5/378	0.0	1.0
Fake_sample_824	9/30	9/348	1.0	2.0
Fake_sample_825	2/5	2/5	0.0	0.0
Fake_sample_826	2/2	2/2	0.0	0.0
Fake_sample_827	2/8	2/4	0.0	1.0
Fake_sample_828	2/8	2/8	0.0	1.0
Fake_sample_829	2/8	2/8	0.0	1.0
Fake_sample_830	5/6	5/6	0.0	0.0
Fake_sample_831	5/8	5/8	0.0	1.0
Fake_sample_832	6/8	6/8	0.0	1.0
Fake_sample_833	2/5	2/5	0.0	0.0
Fake_sample_834	8/10	8/10	0.0	2.0
Fake_sample_835	2/5	2/5	0.0	0.0
Fake_sample_836	2/2	2/2	0.0	0.0
Fake_sample_837	5/8	5/8	0.0	0.0
Fake_sample_838	2/2	2/2	0.0	0.0
Fake_sample_839	2/5	2/5	0.0	0.0
Fake_sample_840	30/30	18/468	1.13	2.0
Fake_sample_841	5/30	5/10	1.0	1.0
Fake_sample_842	2/5	2/5	0.0	0.0
Fake_sample_843	2/11	2/15	0.0	1.0
Fake_sample_844	7/8	7/8	0.0	2.0
Fake_sample_845	2/8	2/8	0.13	1.0
Fake_sample_846	2/5	2/5	0.0	0.0
Fake_sample_847	5/5	5/8	0.0	1.0
Fake_sample_848	6/6	6/6	0.0	0.0
Fake_sample_849	2/5	2/5	0.0	0.0
Fake_sample_850	2/2	2/2	0.0	0.0
Fake_sample_851	2/2	2/2	0.0	0.0
Fake_sample_852	5/30	5/218	0.62	1.0
Fake_sample_853	9/30	8/370	1.0	2.0
Fake_sample_854	2/2	2/2	0.0	0.0
Fake_sample_855	5/8	5/8	0.0	1.0
Fake_sample_856	4/11	4/11	0.0	1.0
Fake_sample_857	2/2	2/2	0.0	0.0
Fake_sample_858	2/2	2/2	0.0	0.0
Fake_sample_859	2/9	2/9	0.0	1.0
Fake_sample_860	2/2	2/2	0.0	0.0
Fake_sample_861	2/8	2/8	0.0	1.0
Fake_sample_862	2/5	2/5	0.0	1.0
Fake_sample_863	2/6	2/6	0.0	0.0
Fake_sample_864	2/2	2/2	0.0	0.0
Fake_sample_865	2/5	2/5	0.0	0.0
Fake_sample_866	2/6	2/6	0.0	0.0
Fake_sample_867	2/5	2/5	0.0	0.0
Fake_sample_868	2/12	2/12	0.12	1.0
Fake_sample_869	5/10	5/12	0.0	1.0
Fake_sample_870	2/5	2/5	0.0	0.0
Fake_sample_871	2/2	2/2	0.0	0.0
Fake_sample_872	2/8	2/8	0.0	1.0
Fake_sample_873	2/8	2/8	0.0	1.0
Fake_sample_874	8/11	8/8	0.0	2.0
Fake_sample_875	2/2	2/2	0.0	0.0
Fake_sample_876	2/8	2/8	0.0	1.0
Fake_sample_877	2/5	2/5	0.0	0.0
Fake_sample_878	5/6	5/6	0.0	0.0
Fake_sample_879	4/8	4/8	0.0	1.0
Fake_sample_880	2/8	2/8	0.0	1.0
Fake_sample_881	2/30	2/426	1.0	1.0
Fake_sample_882	2/2	2/2	0.0	0.0
Fake_sample_883	4/30	4/327	0.46	1.0
Fake_sample_884	2/2	2/2	0.0	0.0
Fake_sample_885	2/4	2/4	0.0	0.0
Fake_sample_886	2/2	2/2	0.0	0.0
Fake_sample_887	5/5	5/5	0.0	0.0
Fake_sample_888	2/10	2/10	0.0	1.0
Fake_sample_889	2/2	2/2	0.0	0.0
Fake_sample_890	8/8	8/8	0.0	2.0
Fake_sample_891	2/4	2/4	0.0	0.0
Fake_sample_892	5/5	5/5	0.0	0.0
Fake_sample_893	2/8	2/8	0.0	1.0
Fake_sample_894	2/2	2/2	0.0	0.0
Fake_sample_895	8/8	8/9	0.0	2.0
Fake_sample_896	2/4	2/4	0.0	0.0
Fake_sample_897	2/2	2/2	0.0	0.0
Fake_sample_898	2/2	2/2	0.0	0.0
Fake_sample_899	2/2	2/2	0.0	0.0
Fake_sample_900	2/2	2/2	0.0	0.0
Fake_sample_901	2/5	2/5	0.0	0.0
Fake_sample_902	2/11	2/11	0.0	1.0
Fake_sample_903	2/30	2/407	1.0	1.0
Fake_sample_904	2/7	2/7	0.0	1.0
Fake_sample_905	2/5	2/5	0.0	0.0
Fake_sample_906	2/5	2/5	0.0	0.0
Fake_sample_907	2/6	2/6	0.0	0.0
Fake_sample_908	2/8	2/8	0.0	1.0
Fake_sample_909	2/5	2/5	0.0	0.0
Fake_sample_910	2/13	2/12	0.0	1.0
Fake_sample_911	2/2	2/2	0.0	0.0
Fake_sample_912	2/5	2/5	0.0	0.0
Fake_sample_913	2/6	2/6	0.0	0.0
Fake_sample_914	2/2	2/2	0.0	0.0
Fake_sample_915	2/2	2/2	0.0	0.0
Fake_sample_916	2/8	2/8	0.0	1.0
Fake_sample_917	2/2	2/2	0.0	0.0
Fake_sample_918	2/5	2/5	0.0	0.0
Fake_sample_919	2/8	2/8	0.0	1.0
Fake_sample_920	5/5	5/5	0.0	0.0
Fake_sample_921	2/5	2/5	0.0	0.0
Fake_sample_922	9/30	9/378	1.0	2.0
Fake_sample_923	2/5	2/5	0.0	0.0
Fake_sample_924	5/5	5/5	0.0	0.0
Fake_sample_925	2/5	2/5	0.0	0.0
Fake_sample_926	5/30	5/16	0.44	2.0
Fake_sample_927	2/20	2/410	0.0	1.0
Fake_sample_928	6/8	6/8	0.0	1.0
Fake_sample_929	12/30	12/671	0.92	2.0
Fake_sample_930	2/5	2/5	0.0	0.0
Fake_sample_931	2/2	2/2	0.0	0.0
Fake_sample_932	2/11	2/11	0.0	1.0
Fake_sample_933	2/5	2/5	0.0	0.0
Fake_sample_934	5/5	5/5	0.0	0.0
Fake_sample_935	2/10	2/2	0.02	0.0
Fake_sample_936	2/6	2/6	0.0	0.0
Fake_sample_937	2/2	2/2	0.0	0.0
Fake_sample_938	5/8	5/8	0.0	1.0
Fake_sample_939	2/5	2/5	0.0	0.0
Fake_sample_940	2/2	2/2	0.0	0.0
Fake_sample_941	2/8	2/8	0.0	1.0
Fake_sample_942	2/2	2/2	0.0	0.0
Fake_sample_943	2/30	2/223	0.99	1.0
Fake_sample_944	8/30	8/175	0.82	2.0
Fake_sample_945	5/6	5/6	0.0	1.0
Fake_sample_946	2/2	2/2	0.0	0.0
Fake_sample_947	2/13	2/13	0.0	1.0
Fake_sample_948	2/2	2/2	0.0	0.0
Fake_sample_949	2/10	2/10	0.0	1.0
Fake_sample_950	2/5	2/5	0.0	0.0
Fake_sample_951	2/5	2/5	0.0	0.0
Fake_sample_952	8/30	8/16	0.7	2.0
Fake_sample_953	2/2	2/2	0.0	0.0
Fake_sample_954	2/6	2/6	0.0	0.0
Fake_sample_955	2/2	2/2	0.0	0.0
Fake_sample_956	2/2	2/2	0.0	0.0
Fake_sample_957	2/4	2/4	0.0	0.0
Fake_sample_958	2/8	2/12	0.0	1.0
Fake_sample_959	5/6	4/5	0.0	0.0
Fake_sample_960	2/6	2/6	0.0	0.0
Fake_sample_961	2/10	2/12	0.01	1.0
Fake_sample_962	2/8	2/8	0.0	1.0
Fake_sample_963	2/2	2/2	0.0	0.0
Fake_sample_964	2/30	2/22	0.66	1.0
Fake_sample_965	2/8	2/8	0.0	1.0
Fake_sample_966	2/2	2/2	0.0	0.0
Fake_sample_967	2/10	2/11	0.0	1.0
Fake_sample_968	2/5	2/5	0.0	0.0
Fake_sample_969	2/2	2/2	0.0	0.0
Fake_sample_970	8/10	8/10	0.06	2.0
Fake_sample_971	2/5	2/5	0.0	0.0
Fake_sample_972	2/10	2/18	0.0	1.0
Fake_sample_973	5/8	5/8	0.0	1.0
Fake_sample_974	2/2	2/2	0.0	0.0
Fake_sample_975	6/7	6/7	0.0	0.0
Fake_sample_976	2/5	2/5	0.0	0.0
Fake_sample_977	2/8	2/8	0.0	1.0
Fake_sample_978	2/10	2/10	0.01	1.0
Fake_sample_979	2/6	2/6	0.0	0.0
Fake_sample_980	2/6	2/10	0.0	1.0
Fake_sample_981	6/8	6/8	0.0	1.0
Fake_sample_982	2/10	2/587	0.0	1.0
Fake_sample_983	2/2	2/2	0.0	0.0
Fake_sample_984	5/10	5/10	0.0	1.0
Fake_sample_985	2/5	2/5	0.0	0.0
Fake_sample_986	2/6	2/6	0.0	0.0
Fake_sample_987	2/5	2/5	0.0	0.0
Fake_sample_988	2/5	2/6	0.0	1.0
Fake_sample_989	2/12	2/10	0.0	1.0
Fake_sample_990	8/8	8/8	0.0	2.0
Fake_sample_991	2/2	2/2	0.0	0.0
Fake_sample_992	2/5	2/5	0.0	0.0
Fake_sample_993	2/6	2/6	0.0	0.0
Fake_sample_994	2/5	2/5	0.0	0.0
Fake_sample_995	2/5	2/5	0.0	0.0
Fake_sample_996	2/5	2/5	0.0	0.0
Fake_sample_997	2/19	2/24	0.33	1.0
Fake_sample_998	2/30	2/105	1.0	1.0
Fake_sample_999	8/8	8/11	0.0	2.0
Fake_sample_1000	2/5	2/5	0.0	0.0
Fake_sample_1001	5/8	5/8	0.0	1.0
Fake_sample_1002	2/4	2/4	0.0	0.0
Fake_sample_1003	2/5	2/5	0.0	0.0
Fake_sample_1004	2/2	2/2	0.0	0.0
Fake_sample_1005	5/8	5/8	0.0	1.0
Fake_sample_1006	2/10	2/8	0.02	1.0
Fake_sample_1007	2/11	2/9	0.0	1.0
Fake_sample_1008	2/30	2/13	0.73	1.0
Fake_sample_1009	2/6	2/6	0.0	0.0
Fake_sample_1010	2/2	2/2	0.0	0.0
Fake_sample_1011	2/2	2/2	0.0	0.0
Fake_sample_1012	2/5	2/5	0.0	0.0
Fake_sample_1013	5/8	5/8	0.0	1.0
Fake_sample_1014	2/15	2/12	0.23	1.0
Fake_sample_1015	2/2	2/2	0.0	0.0
Fake_sample_1016	2/8	2/8	0.0	1.0
Fake_sample_1017	5/5	5/5	0.0	0.0
Fake_sample_1018	5/8	5/8	0.0	1.0
Fake_sample_1019	10/30	12/1603	0.72	2.0
Fake_sample_1020	2/7	2/7	0.0	1.0
Fake_sample_1021	2/6	2/6	0.0	0.0
Fake_sample_1022	2/5	2/5	0.0	0.0
Fake_sample_1023	2/2	2/2	0.0	0.0
Fake_sample_1024	2/5	2/5	0.0	1.0
Fake_sample_1025	2/2	2/2	0.0	0.0
Fake_sample_1026	2/2	2/2	0.0	0.0
Fake_sample_1027	8/8	6/8	0.0	2.0
Fake_sample_1028	5/5	5/5	0.0	0.0
Fake_sample_1029	2/5	2/5	0.0	0.0
Fake_sample_1030	2/5	2/5	0.0	0.0
Fake_sample_1031	5/30	5/1125	0.73	2.0
Fake_sample_1032	2/8	2/8	0.0	0.0
Fake_sample_1033	2/8	2/8	0.0	1.0
Fake_sample_1034	2/6	2/6	0.0	0.0
Fake_sample_1035	2/8	2/8	0.0	1.0
Fake_sample_1036	2/30	2/18	0.42	1.0
Fake_sample_1037	2/30	2/1101	0.64	1.0
Fake_sample_1038	2/2	2/2	0.0	0.0
Fake_sample_1039	2/2	2/2	0.0	0.0
Fake_sample_1040	2/6	2/6	0.0	0.0
Fake_sample_1041	2/30	2/2125	1.0	1.0
Fake_sample_1042	4/8	4/8	0.0	1.0
Fake_sample_1043	2/2	2/2	0.0	0.0
Fake_sample_1044	2/6	2/6	0.0	0.0
Fake_sample_1045	2/10	2/10	0.0	1.0
Fake_sample_1046	7/8	7/8	0.0	1.0
Fake_sample_1047	2/30	2/975	1.0	1.0
Fake_sample_1048	6/8	6/8	0.0	1.0
Fake_sample_1049	2/2	2/2	0.0	0.0
Fake_sample_1050	2/2	2/2	0.0	0.0
Fake_sample_1051	7/30	7/920	1.0	1.0
Fake_sample_1052	5/6	5/6	0.0	0.0
Fake_sample_1053	2/2	2/2	0.0	0.0
Fake_sample_1054	2/5	2/5	0.0	0.0
Fake_sample_1055	2/4	2/5	0.0	0.0
Fake_sample_1056	8/8	8/8	0.0	2.0
Fake_sample_1057	2/10	2/10	0.0	1.0
Fake_sample_1058	2/2	2/2	0.0	0.0
Fake_sample_1059	8/10	8/8	0.0	2.0
Fake_sample_1060	2/2	2/2	0.0	0.0
Fake_sample_1061	2/2	2/2	0.0	0.0
Fake_sample_1062	2/2	2/2	0.0	0.0
Fake_sample_1063	5/19	5/1111	0.01	1.0
Fake_sample_1064	2/8	2/8	0.0	1.0
Fake_sample_1065	4/10	4/10	0.0	1.0
Fake_sample_1066	7/8	7/8	0.0	1.0
Fake_sample_1067	2/30	2/979	1.0	1.0
Fake_sample_1068	2/30	2/982	1.0	1.0
Fake_sample_1069	4/6	4/1312	0.18	1.0
Fake_sample_1070	2/10	2/2	0.02	0.0
Fake_sample_1071	2/5	2/5	0.0	0.0
Fake_sample_1072	2/4	2/4	0.0	0.0
Fake_sample_1073	2/5	2/5	0.0	0.0
Fake_sample_1074	5/10	5/10	0.0	1.0
Fake_sample_1075	8/8	8/8	0.0	2.0
Fake_sample_1076	2/12	2/10	0.0	1.0
Fake_sample_1077	2/5	2/5	0.0	0.0
Fake_sample_1078	2/10	2/2	0.02	0.0
Fake_sample_1079	2/4	2/4	0.0	0.0
Fake_sample_1080	2/12	2/11	0.0	1.0
Fake_sample_1081	8/8	8/8	0.12	2.0
Fake_sample_1082	8/11	8/11	0.0	1.0
Fake_sample_1083	2/2	2/2	0.0	0.0
Fake_sample_1084	2/5	2/5	0.0	0.0
Fake_sample_1085	4/10	4/6	0.0	1.0
Fake_sample_1086	2/6	2/6	0.0	0.0
Fake_sample_1087	4/6	4/6	0.0	0.0
Fake_sample_1088	2/8	2/8	0.0	1.0
Fake_sample_1089	8/8	6/8	0.01	2.0
Fake_sample_1090	2/8	2/8	0.0	1.0
Fake_sample_1091	2/5	2/2	0.0	0.0
Fake_sample_1092	2/5	2/5	0.0	0.0
Fake_sample_1093	2/2	2/2	0.0	0.0
Fake_sample_1094	2/2	2/2	0.0	0.0
Fake_sample_1095	8/10	6/10	0.09	1.0
Fake_sample_1096	4/6	4/6	0.0	0.0
Fake_sample_1097	6/6	6/6	0.0	0.0
Fake_sample_1098	2/2	2/2	0.0	0.0
Fake_sample_1099	2/8	2/8	0.0	1.0
Fake_sample_1100	2/8	2/8	0.0	1.0
Fake_sample_1101	2/2	2/2	0.0	0.0
Fake_sample_1102	2/2	2/2	0.0	0.0
Fake_sample_1103	2/5	2/5	0.0	1.0
Fake_sample_1104	2/5	2/5	0.0	0.0
Fake_sample_1105	2/2	2/2	0.0	0.0
Fake_sample_1106	6/8	6/8	0.0	1.0
Fake_sample_1107	2/10	2/10	0.0	1.0
Fake_sample_1108	2/2	2/2	0.0	0.0
Fake_sample_1109	2/2	2/2	0.0	0.0
Fake_sample_1110	5/8	5/8	0.0	1.0
Fake_sample_1111	5/8	4/5	0.0	1.0
